date_created,location,measurement,value
23/05/2023,HTX nghêu Thành Đạt - Hiệp Thạnh – TX. Duyên Hải,Oxy (mg/l),4.0
23/05/2023,HTX nghêu Thành Đạt - Hiệp Thạnh – TX. Duyên Hải,Nhiệt độ nước (oC),30
23/05/2023,Sông Long Toàn - TX. Duyên Hải (Cầu Long Toàn),Độ mặn(‰),20
23/05/2023,Sông Long Toàn - TX. Duyên Hải (Cầu Long Toàn),pH,7.5
23/05/2023,Sông Long Toàn - TX. Duyên Hải (Cầu Long Toàn),Kiềm(mg/l),107
23/05/2023,Sông Long Toàn - TX. Duyên Hải (Cầu Long Toàn),Oxy (mg/l),4.0
23/05/2023,Sông Long Toàn - TX. Duyên Hải (Cầu Long Toàn),Nhiệt độ nước (oC),31
23/05/2023,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Độ mặn(‰),18
23/05/2023,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,pH,8.5
23/05/2023,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Kiềm(mg/l),90
23/05/2023,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Oxy (mg/l),3.0
23/05/2023,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Nhiệt độ nước (oC),29
23/05/2023,Cống La Bang - Đôn Châu - Duyên Hải,Độ mặn(‰),10
23/05/2023,Cống La Bang - Đôn Châu - Duyên Hải,pH,7.5
23/05/2023,Cống La Bang - Đôn Châu - Duyên Hải,Kiềm(mg/l),72
23/05/2023,Cống La Bang - Đôn Châu - Duyên Hải,Oxy (mg/l),3.0
23/05/2023,Cống La Bang - Đôn Châu - Duyên Hải,Nhiệt độ nước (oC),29
23/05/2023,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Độ mặn(‰),26
23/05/2023,Bến đò Phước Thiện - Đông Hải - Duyên Hải,pH,8.0
23/05/2023,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Kiềm(mg/l),107
23/05/2023,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Oxy (mg/l),3.0
23/05/2023,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Nhiệt độ nước (oC),28
17/12/2021,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Độ mặn(‰),3
17/12/2021,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),pH,7.5
17/12/2021,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Kiềm(mg/l),90
17/12/2021,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Nhiệt độ nước (oC),28
17/12/2021,Cống Thâu Râu - Mỹ Long Nam - Cầu Ngang,Độ mặn(‰),4
17/12/2021,Cống Thâu Râu - Mỹ Long Nam - Cầu Ngang,pH,7.5
17/12/2021,Cống Thâu Râu - Mỹ Long Nam - Cầu Ngang,Kiềm(mg/l),72
17/12/2021,Cống Thâu Râu - Mỹ Long Nam - Cầu Ngang,Nhiệt độ nước (oC),28
17/12/2021,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Độ mặn(‰),3
17/12/2021,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,pH,8.0
17/12/2021,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Kiềm(mg/l),72
17/12/2021,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Nhiệt độ nước (oC),29
17/12/2021,Sông Long Toàn - TX. Duyên Hải (Cầu Long Toàn),Độ mặn(‰),7
17/12/2021,Sông Long Toàn - TX. Duyên Hải (Cầu Long Toàn),pH,8.5
17/12/2021,Sông Long Toàn - TX. Duyên Hải (Cầu Long Toàn),Kiềm(mg/l),90
17/12/2021,Sông Long Toàn - TX. Duyên Hải (Cầu Long Toàn),Nhiệt độ nước (oC),29
17/12/2021,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Độ mặn(‰),7
17/12/2021,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,pH,7.5
17/12/2021,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Kiềm(mg/l),90
17/12/2021,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Nhiệt độ nước (oC),29
17/12/2021,Cống La Bang - Đôn Châu - Duyên Hải,Độ mặn(‰),10
17/12/2021,Cống La Bang - Đôn Châu - Duyên Hải,pH,7.0
17/12/2021,Cống La Bang - Đôn Châu - Duyên Hải,Kiềm(mg/l),54
17/12/2021,Cống La Bang - Đôn Châu - Duyên Hải,Nhiệt độ nước (oC),28
17/12/2021,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Độ mặn(‰),21
17/12/2021,Bến đò Phước Thiện - Đông Hải - Duyên Hải,pH,7.5
17/12/2021,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Kiềm(mg/l),90
17/12/2021,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Nhiệt độ nước (oC),28
14/01/2020,"Sông Vinh Kim - Cầu Ngang
            (gần Cầu Vinh Kim)",Độ mặn(‰),12
14/01/2020,"Sông Vinh Kim - Cầu Ngang
            (gần Cầu Vinh Kim)",pH,7.5
14/01/2020,"Sông Vinh Kim - Cầu Ngang
            (gần Cầu Vinh Kim)",Kiềm(mg/l),80
14/01/2020,"Sông Vinh Kim - Cầu Ngang
            (gần Cầu Vinh Kim)","Nhiệt độ
            nước (oC)",28
14/01/2020,"Cống Thâu Râu - Mỹ Long Nam
            - Cầu Ngang",Độ mặn(‰),15
14/01/2020,"Cống Thâu Râu - Mỹ Long Nam
            - Cầu Ngang",pH,7.5
14/01/2020,"Cống Thâu Râu - Mỹ Long Nam
            - Cầu Ngang",Kiềm(mg/l),100
14/01/2020,"Cống Thâu Râu - Mỹ Long Nam
            - Cầu Ngang","Nhiệt độ
            nước (oC)",30
14/01/2020,"Cầu Sông Giăng - Hiệp Thạnh
            - TX. Duyên Hải",Độ mặn(‰),16
14/01/2020,"Cầu Sông Giăng - Hiệp Thạnh
            - TX. Duyên Hải",pH,8.0
14/01/2020,"Cầu Sông Giăng - Hiệp Thạnh
            - TX. Duyên Hải",Kiềm(mg/l),90
14/01/2020,"Cầu Sông Giăng - Hiệp Thạnh
            - TX. Duyên Hải","Nhiệt độ
            nước (oC)",30
14/01/2020,"Sông Long Toàn
            - Duyên Hải (Cầu Long Toàn)",Độ mặn(‰),20
14/01/2020,"Sông Long Toàn
            - Duyên Hải (Cầu Long Toàn)",pH,8.5
14/01/2020,"Sông Long Toàn
            - Duyên Hải (Cầu Long Toàn)",Kiềm(mg/l),90
14/01/2020,"Sông Long Toàn
            - Duyên Hải (Cầu Long Toàn)","Nhiệt độ
            nước (oC)",30
14/01/2020,"Cầu Kênh Đào - Long Vĩnh -
            Duyên Hải",Độ mặn(‰),14
14/01/2020,"Cầu Kênh Đào - Long Vĩnh -
            Duyên Hải",pH,8.0
14/01/2020,"Cầu Kênh Đào - Long Vĩnh -
            Duyên Hải",Kiềm(mg/l),130
14/01/2020,"Cầu Kênh Đào - Long Vĩnh -
            Duyên Hải","Nhiệt độ
            nước (oC)",28
14/01/2020,Cống La Bang - Đôn Châu - Duyên Hải,Độ mặn(‰),14
14/01/2020,Cống La Bang - Đôn Châu - Duyên Hải,pH,7.0
14/01/2020,Cống La Bang - Đôn Châu - Duyên Hải,Kiềm(mg/l),70
14/01/2020,Cống La Bang - Đôn Châu - Duyên Hải,"Nhiệt độ
            nước (oC)",27
14/01/2020,"Bến đò Phước
            Thiện - Đông Hải - Duyên Hải",Độ mặn(‰),26
14/01/2020,"Bến đò Phước
            Thiện - Đông Hải - Duyên Hải",pH,8.0
14/01/2020,"Bến đò Phước
            Thiện - Đông Hải - Duyên Hải",Kiềm(mg/l),120
14/01/2020,"Bến đò Phước
            Thiện - Đông Hải - Duyên Hải","Nhiệt độ
            nước (oC)",28
14/01/2020,"Vàm Trà Kha - Định An - Trà
            Cú",Độ mặn(‰),20
14/01/2020,"Vàm Trà Kha - Định An - Trà
            Cú",pH,8.5
14/01/2020,"Vàm Trà Kha - Định An - Trà
            Cú",Kiềm(mg/l),110
14/01/2020,"Vàm Trà Kha - Định An - Trà
            Cú","Nhiệt độ
            nước (oC)",30
14/01/2020,"HTX nghêu Thành Đạt - Hiệp
            Thạnh - TX. Duyên Hải",Độ mặn(‰),14
14/01/2020,"HTX nghêu Thành Đạt - Hiệp
            Thạnh - TX. Duyên Hải",pH,8.0
14/01/2020,"HTX nghêu Thành Đạt - Hiệp
            Thạnh - TX. Duyên Hải",Kiềm(mg/l),70
14/01/2020,"HTX nghêu Thành Đạt - Hiệp
            Thạnh - TX. Duyên Hải","Nhiệt độ
            nước (oC)",28
17/07/2018,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Độ mặn(‰),5
17/07/2018,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),pH,8.0
17/07/2018,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Kiềm(mg/l),107
17/07/2018,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Nhiệt độ nước (oC),27
17/07/2018,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Độ mặn(‰),9
17/07/2018,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,pH,8.0
17/07/2018,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Kiềm(mg/l),72
17/07/2018,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Nhiệt độ nước (oC),29
17/07/2018,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),Độ mặn(‰),10
17/07/2018,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),pH,8.5
17/07/2018,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),Kiềm(mg/l),72
17/07/2018,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),Nhiệt độ nước (oC),29
17/07/2018,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Độ mặn(‰),8
17/07/2018,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,pH,8.0
17/07/2018,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Kiềm(mg/l),90
17/07/2018,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Nhiệt độ nước (oC),27
17/07/2018,Sông Láng Chim - Duyên Hải (Cầu Láng Chim),Độ mặn(‰),16
17/07/2018,Sông Láng Chim - Duyên Hải (Cầu Láng Chim),pH,8.0
17/07/2018,Sông Láng Chim - Duyên Hải (Cầu Láng Chim),Kiềm(mg/l),90
17/07/2018,Sông Láng Chim - Duyên Hải (Cầu Láng Chim),Nhiệt độ nước (oC),28
04/02/2020,Sông Vinh Kim - Cầu Ngang (gần Cầu Vinh Kim),Độ mặn(‰),4
04/02/2020,Sông Vinh Kim - Cầu Ngang (gần Cầu Vinh Kim),pH,7.5
04/02/2020,Sông Vinh Kim - Cầu Ngang (gần Cầu Vinh Kim),Kiềm(mg/l),80
04/02/2020,Sông Vinh Kim - Cầu Ngang (gần Cầu Vinh Kim),Nhiệt độ nước (oC),29
04/02/2020,Cống Thâu Râu - Mỹ Long Nam - Cầu Ngang,Độ mặn(‰),17
04/02/2020,Cống Thâu Râu - Mỹ Long Nam - Cầu Ngang,pH,8.0
04/02/2020,Cống Thâu Râu - Mỹ Long Nam - Cầu Ngang,Kiềm(mg/l),130
04/02/2020,Cống Thâu Râu - Mỹ Long Nam - Cầu Ngang,Nhiệt độ nước (oC),28
04/02/2020,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Độ mặn(‰),12
04/02/2020,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,pH,8.0
04/02/2020,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Kiềm(mg/l),90
04/02/2020,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Nhiệt độ nước (oC),29
04/02/2020,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),Độ mặn(‰),12
04/02/2020,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),pH,8.5
04/02/2020,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),Kiềm(mg/l),90
04/02/2020,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),Nhiệt độ nước (oC),30
04/02/2020,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Độ mặn(‰),17
04/02/2020,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,pH,7.5
04/02/2020,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Kiềm(mg/l),120
04/02/2020,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Nhiệt độ nước (oC),28
04/02/2020,Cống La Bang - Đôn Châu - Duyên Hải,Độ mặn(‰),19
04/02/2020,Cống La Bang - Đôn Châu - Duyên Hải,pH,7.0
04/02/2020,Cống La Bang - Đôn Châu - Duyên Hải,Kiềm(mg/l),70
04/02/2020,Cống La Bang - Đôn Châu - Duyên Hải,Nhiệt độ nước (oC),27
04/02/2020,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Độ mặn(‰),26
04/02/2020,Bến đò Phước Thiện - Đông Hải - Duyên Hải,pH,8.0
04/02/2020,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Kiềm(mg/l),100
04/02/2020,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Nhiệt độ nước (oC),28
04/02/2020,Vàm Trà Kha - Định An - Trà Cú,Độ mặn(‰),7
04/02/2020,Vàm Trà Kha - Định An - Trà Cú,pH,8.0
04/02/2020,Vàm Trà Kha - Định An - Trà Cú,Kiềm(mg/l),90
04/02/2020,Vàm Trà Kha - Định An - Trà Cú,Nhiệt độ nước (oC),27
04/02/2020,HTX nghêu Thành Đạt - Hiệp Thạnh - TX. Duyên Hải,Độ mặn(‰),13
04/02/2020,HTX nghêu Thành Đạt - Hiệp Thạnh - TX. Duyên Hải,pH,8.0
04/02/2020,HTX nghêu Thành Đạt - Hiệp Thạnh - TX. Duyên Hải,Kiềm(mg/l),70
04/02/2020,HTX nghêu Thành Đạt - Hiệp Thạnh - TX. Duyên Hải,Nhiệt độ nước (oC),28
24/08/2018,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Độ mặn(‰),3
24/08/2018,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),pH,8.0
24/08/2018,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Kiềm(mg/l),107
24/08/2018,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Nhiệt độ nước (oC),28
24/08/2018,Cầu Sông Giăng – Hiệp Thạnh – TX. Duyên Hải,Độ mặn(‰),4
24/08/2018,Cầu Sông Giăng – Hiệp Thạnh – TX. Duyên Hải,pH,8.0
24/08/2018,Cầu Sông Giăng – Hiệp Thạnh – TX. Duyên Hải,Kiềm(mg/l),72
24/08/2018,Cầu Sông Giăng – Hiệp Thạnh – TX. Duyên Hải,Nhiệt độ nước (oC),29
24/08/2018,Sông Long Toàn – Duyên Hải (Cầu Long Toàn),Độ mặn(‰),2
24/08/2018,Sông Long Toàn – Duyên Hải (Cầu Long Toàn),pH,8.5
24/08/2018,Sông Long Toàn – Duyên Hải (Cầu Long Toàn),Kiềm(mg/l),72
24/08/2018,Sông Long Toàn – Duyên Hải (Cầu Long Toàn),Nhiệt độ nước (oC),29
24/08/2018,Cầu Kênh Đào – Long Vĩnh – Duyên Hải,Độ mặn(‰),0
24/08/2018,Cầu Kênh Đào – Long Vĩnh – Duyên Hải,pH,8.0
24/08/2018,Cầu Kênh Đào – Long Vĩnh – Duyên Hải,Kiềm(mg/l),80
24/08/2018,Cầu Kênh Đào – Long Vĩnh – Duyên Hải,Nhiệt độ nước (oC),28
24/08/2018,Sông Láng Chim – Duyên Hải (Cầu Láng Chim),Độ mặn(‰),10
24/08/2018,Sông Láng Chim – Duyên Hải (Cầu Láng Chim),pH,8.0
24/08/2018,Sông Láng Chim – Duyên Hải (Cầu Láng Chim),Kiềm(mg/l),72
24/08/2018,Sông Láng Chim – Duyên Hải (Cầu Láng Chim),Nhiệt độ nước (oC),30
12/12/2017,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Độ mặn(‰),1
12/12/2017,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),pH,8.0
12/12/2017,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Kiềm(mg/l),107
12/12/2017,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Nhiệt độ nước (oC),29
12/12/2017,Cống Thâu Râu - Mỹ Long Nam - Cầu Ngang,Độ mặn(‰),2
12/12/2017,Cống Thâu Râu - Mỹ Long Nam - Cầu Ngang,pH,7.5
12/12/2017,Cống Thâu Râu - Mỹ Long Nam - Cầu Ngang,Kiềm(mg/l),72
12/12/2017,Cống Thâu Râu - Mỹ Long Nam - Cầu Ngang,Nhiệt độ nước (oC),30
12/12/2017,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Độ mặn(‰),4
12/12/2017,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,pH,8.0
12/12/2017,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Kiềm(mg/l),72
12/12/2017,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Nhiệt độ nước (oC),30
12/12/2017,Long Toàn - TX. Duyên Hải,Độ mặn(‰),10
12/12/2017,Long Toàn - TX. Duyên Hải,pH,8.5
12/12/2017,Long Toàn - TX. Duyên Hải,Kiềm(mg/l),54
12/12/2017,Long Toàn - TX. Duyên Hải,Nhiệt độ nước (oC),29
12/12/2017,Sông Láng Chim - TX.Duyên Hải (Cầu Láng Chim),Độ mặn(‰),11
12/12/2017,Sông Láng Chim - TX.Duyên Hải (Cầu Láng Chim),pH,8.0
12/12/2017,Sông Láng Chim - TX.Duyên Hải (Cầu Láng Chim),Kiềm(mg/l),90
12/12/2017,Sông Láng Chim - TX.Duyên Hải (Cầu Láng Chim),Nhiệt độ nước (oC),31
12/12/2017,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Độ mặn(‰),8
12/12/2017,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,pH,8.0
12/12/2017,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Kiềm(mg/l),90
12/12/2017,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Nhiệt độ nước (oC),26
12/12/2017,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Độ mặn(‰),17
12/12/2017,Bến đò Phước Thiện - Đông Hải - Duyên Hải,pH,7.5
12/12/2017,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Kiềm(mg/l),90
12/12/2017,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Nhiệt độ nước (oC),29
12/07/2019,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Độ mặn(‰),5
12/07/2019,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),pH,8.0
12/07/2019,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Kiềm(mg/l),110
12/07/2019,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Nhiệt độ nước (oC),30
12/07/2019,Cống Thâu Râu -Mỹ LongNam- Cầu Ngang,Độ mặn(‰),5
12/07/2019,Cống Thâu Râu -Mỹ LongNam- Cầu Ngang,pH,7.5
12/07/2019,Cống Thâu Râu -Mỹ LongNam- Cầu Ngang,Kiềm(mg/l),110
12/07/2019,Cống Thâu Râu -Mỹ LongNam- Cầu Ngang,Nhiệt độ nước (oC),30
12/07/2019,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Độ mặn(‰),5
12/07/2019,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,pH,8.0
12/07/2019,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Kiềm(mg/l),90
12/07/2019,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Nhiệt độ nước (oC),30
12/07/2019,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),Độ mặn(‰),12
12/07/2019,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),pH,8.0
12/07/2019,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),Kiềm(mg/l),90
12/07/2019,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),Nhiệt độ nước (oC),30
12/07/2019,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Độ mặn(‰),5
12/07/2019,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,pH,8.0
12/07/2019,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Kiềm(mg/l),110
12/07/2019,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Nhiệt độ nước (oC),30
12/07/2019,Cống La Bang - Đôn Châu - Duyên Hải,Độ mặn(‰),4
12/07/2019,Cống La Bang - Đôn Châu - Duyên Hải,pH,8.0
12/07/2019,Cống La Bang - Đôn Châu - Duyên Hải,Kiềm(mg/l),70
12/07/2019,Cống La Bang - Đôn Châu - Duyên Hải,Nhiệt độ nước (oC),30
12/07/2019,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Độ mặn(‰),14
12/07/2019,Bến đò Phước Thiện - Đông Hải - Duyên Hải,pH,7.5
12/07/2019,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Kiềm(mg/l),80
12/07/2019,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Nhiệt độ nước (oC),29
12/07/2019,HTX nghêu Thành Đạt - Hiệp Thạnh - TX.DH,Độ mặn(‰),7
12/07/2019,HTX nghêu Thành Đạt - Hiệp Thạnh - TX.DH,pH,7.5
12/07/2019,HTX nghêu Thành Đạt - Hiệp Thạnh - TX.DH,Kiềm(mg/l),90
12/07/2019,HTX nghêu Thành Đạt - Hiệp Thạnh - TX.DH,Nhiệt độ nước (oC),29
22/02/2022,Sông Cổ Chiên – Châu Thành (Cầu Rạch Gốc),,7
22/02/2022,Sông Cổ Chiên – Châu Thành (Cầu Rạch Gốc),Độ mặn(‰),7.5
22/02/2022,Sông Cổ Chiên – Châu Thành (Cầu Rạch Gốc),pH,90
22/02/2022,Sông Cổ Chiên – Châu Thành (Cầu Rạch Gốc),Kiềm(mg/l),4.0
22/02/2022,Sông Cổ Chiên – Châu Thành (Cầu Rạch Gốc),Oxy (mg/L),30
22/02/2022,Sông Cổ Chiên – Châu Thành (Cầu Rạch Gốc),Nhiệt độ nước (oC),
22/02/2022,Bến phà Long Hưng - Hòa Minh - Châu Thành,,5
22/02/2022,Bến phà Long Hưng - Hòa Minh - Châu Thành,Độ mặn(‰),7.0
22/02/2022,Bến phà Long Hưng - Hòa Minh - Châu Thành,pH,72
22/02/2022,Bến phà Long Hưng - Hòa Minh - Châu Thành,Kiềm(mg/l),3.0
22/02/2022,Bến phà Long Hưng - Hòa Minh - Châu Thành,Oxy (mg/L),28
22/02/2022,Bến phà Long Hưng - Hòa Minh - Châu Thành,Nhiệt độ nước (oC),
22/02/2022,Bến phà Bãi Vàng - Hưng Mỹ - Châu Thành,,4
22/02/2022,Bến phà Bãi Vàng - Hưng Mỹ - Châu Thành,Độ mặn(‰),8.0
22/02/2022,Bến phà Bãi Vàng - Hưng Mỹ - Châu Thành,pH,72
22/02/2022,Bến phà Bãi Vàng - Hưng Mỹ - Châu Thành,Kiềm(mg/l),4.0
22/02/2022,Bến phà Bãi Vàng - Hưng Mỹ - Châu Thành,Oxy (mg/L),28
22/02/2022,Bến phà Bãi Vàng - Hưng Mỹ - Châu Thành,Nhiệt độ nước (oC),
22/02/2022,Sông Vinh Kim – Cầu Ngang,,5
22/02/2022,Sông Vinh Kim – Cầu Ngang,Độ mặn(‰),7.5
